Isolate,genome_wide_coverage,cyp51_coverage,ratio
PLSM082286,28.97,76.4867,2.64020365895754
PLSM092311,32.78,139.209,4.24676632092739
POL_1,45.92,214.078,4.66197735191638
POL_3,35.58,163.654,4.59960652051714
POL_5,48.82,224.302,4.59446947972143
POL_6,41.99,154.628,3.68249583234103
PTOD042301,22.06,18.7974,0.852103354487761
ROGT052201,40.27,229.712,5.70429600198659
ROGT052209,43.63,119.191,2.73185881274352
ROLV052202,32.75,64.0561,1.95591145038168
ROLV052206,37.46,144.418,3.8552589428724
ROLV052209,36.31,98.0673,2.70083448085927
SEAB072243,29.54,108.923,3.68730534867976
SEAB072246,31.25,79.5381,2.5452192
SEUP072201,26.85,99.0213,3.68794413407821
SEUP072203,32.87,116.484,3.54377852144813
SEUP072204,33.38,122.612,3.67321749550629
TRSA062307,23.87,79.2575,3.32038123167155
TRSA062309,26.46,73.567,2.78030990173847
TRSA062310,24.71,93.6887,3.79152974504249
TUR_1a,33.22,97.3727,2.93114689945816
TUR_1b,25.35,91.5446,3.61122682445759
TUR_1c,32.79,97.8819,2.98511436413541
UKCA042302,24.05,61.0041,2.53655301455301
UKCA042310,20.29,72.7738,3.58668309512075
UKCA042316,21.8,59.6952,2.7383119266055
UKCA042327,22.02,83.8517,3.80797910990009
UKCA092201,27.42,69.8009,2.54561998541211
UKCA092202,33.33,144.458,4.33417341734173
UKCA092203,33.85,150.904,4.45802067946824
UKCA092204,29.03,81.2386,2.7984361005856
UKCA092205,33.66,174.351,5.17976827094474
